"Gene","Count","Phenotypes"
"Zm00001eb427500",6,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb427510",6,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb008030",5,"MLM_envGWAS_N;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb050490",5,"MLM_envGWAS_NHx;MLM_envGWAS_NHx_sorghum;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb050500",5,"MLM_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb057870",5,"MLM_envGWAS_N_sorghum;MLM_envGWAS_N;FarmCPU_envGWAS_N;MLM_envGWAS_NHx;Fst_NHx_sorghum"
"Zm00001eb070460",5,"MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb070480",5,"MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb070490",5,"MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx;FarmCPU_envGWAS_N;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb070510",5,"MLM_envGWAS_N_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb070520",5,"MLM_envGWAS_N_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb070560",5,"MLM_envGWAS_N_sorghum;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb070570",5,"MLM_envGWAS_N_sorghum;Fst_N_Sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb070600",5,"MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N;FarmCPU_envGWAS_NHx"
"Zm00001eb075460",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;FarmCPU_envGWAS_N_sorghum;Fst_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb075470",5,"MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum;Fst_N_Sorghum;FarmCPU_envGWAS_N;Fst_NHx_sorghum"
"Zm00001eb092000",5,"FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_IndianChief;Fst_NHx_sorghum;MLM_envGWAS_NHx"
"Zm00001eb092880",5,"MLM_envGWAS_N_sorghum;MLM_envGWAS_NHx;FarmCPU_envGWAS_N;Fst_N_Sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb104370",5,"FarmCPU_envGWAS_N;Fst_N_maize;TajimaD_Jarvis;Fst_NHx_maize;FarmCPU_envGWAS_NHx"
"Zm00001eb104380",5,"FarmCPU_envGWAS_N;Fst_N_maize;TajimaD_Jarvis;Fst_NHx_maize;FarmCPU_envGWAS_NHx"
"Zm00001eb117950",5,"MLM_envGWAS_N_sorghum;Fst_N_Sorghum;FarmCPU_envGWAS_NHx;Fst_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb125430",5,"MLM_envGWAS_N_sorghum;MLM_envGWAS_N;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;FarmCPU_envGWAS_N"
"Zm00001eb129510",5,"Fst_NHx_maize;TajimaD_IndianChief;Fst_N_maize;FarmCPU_envGWAS_NHx;Fst_N_Sorghum"
"Zm00001eb137220",5,"Fst_IndianChief;FarmCPU_envGWAS_N_sorghum;FarmCPU_envGWAS_NHx_sorghum;Fst_Jarvis;FarmCPU_envGWAS_N"
"Zm00001eb144120",5,"FarmCPU_envGWAS_N;MLM_envGWAS_N;MLM_envGWAS_NHx;Fst_NHx_sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb149090",5,"Fst_NHx_sorghum;TajimaD_Jarvis;TajimaD_IndianChief;Fst_N_Sorghum;FarmCPU_envGWAS_NHx"
"Zm00001eb149110",5,"Fst_NHx_sorghum;MLM_envGWAS_NHx;TajimaD_Jarvis;TajimaD_IndianChief;FarmCPU_envGWAS_NHx"
"Zm00001eb149990",5,"Fst_N_Sorghum;Fst_NHx_sorghum;MLM_envGWAS_N_sorghum;TajimaD_IndianChief"
"Zm00001eb158100",5,"FarmCPU_envGWAS_N;MLM_envGWAS_NHx;FarmCPU_envGWAS_NHx;Fst_N_Sorghum;Fst_NHx_sorghum"
"Zm00001eb171090",5,"Fst_NHx_sorghum;TajimaD_IndianChief;MLM_envGWAS_NHx_sorghum;MLM_envGWAS_N_sorghum"
